n_factors,lr,weight_decay,epochs,beta,train_mse,test_mse
3,0.005,0.001,200,0.5,0.6511571279468882,0.7302122014418299
7,0.005,0.001,100,0.8,0.6334522904635173,0.7302780332811917
6,0.005,0.0,100,1.0,0.6337994480779968,0.730543440711802
3,0.005,0.0,200,0.8,0.6499825838308897,0.7307275566715458
3,0.005,0.0001,300,1.0,0.650197124307635,0.7309597893337234
5,0.005,0.0001,100,1.0,0.6401666315931301,0.7310136040980699
3,0.005,0.0001,200,0.8,0.6505596312586985,0.7313302270617358
6,0.005,0.0001,100,1.0,0.6348415962269448,0.7314132655354635
9,0.001,0.0,300,0.8,0.6379353814997565,0.7361107366535641
8,0.001,0.0,300,0.8,0.6327128544447853,0.7363375761278286
5,0.001,0.0,300,0.3,0.651087357296458,0.7366038212210095
3,0.005,0.001,300,0.8,0.6542773653649505,0.7366566206387535
8,0.001,0.001,300,0.5,0.6344710155256034,0.7372263595663257
4,0.005,0.0,100,0.8,0.64675269361294,0.7374325280722193
5,0.001,0.0001,300,0.3,0.6518062422388367,0.7374704622634174
4,0.005,0.0001,100,0.8,0.6471235796538125,0.7377327289361122
3,0.005,0.0,200,1.0,0.654126928171901,0.7378689210985007
3,0.005,0.0001,200,1.0,0.6547454919827637,0.7384787564672313
8,0.001,0.0001,300,0.8,0.6346883854052436,0.7385040070486262
9,0.001,0.0001,300,0.8,0.6403392768025623,0.7386785560940224
6,0.005,0.001,100,1.0,0.6428556603999985,0.7390458805359466
3,0.005,0.001,200,0.8,0.656602201050202,0.7392436559708965
